         4,2020092000,    0.031,    0.025,    0.028,    0.098,    0.027,    0.031,    0.024,    0.028,    0.094,    0.033,    0.040,    0.029,    0.030,    0.110,    0.029,    0.040,    0.031,    0.030,    0.112,    0.029,
         4,2020091918,    0.028,    0.013,    0.026,    0.099,    0.037,    0.029,    0.014,    0.026,    0.102,    0.036,    0.036,    0.016,    0.029,    0.106,    0.035,    0.036,    0.015,    0.029,    0.104,    0.035,
         4,2020091912,    0.028,    0.018,    0.027,    0.063,    0.030,    0.029,    0.018,    0.028,    0.067,    0.027,    0.036,    0.020,    0.031,    0.092,    0.027,    0.036,    0.019,    0.031,    0.092,    0.027,
         4,2020091906,    0.027,    0.014,    0.026,    0.062,    0.031,    0.026,    0.014,    0.026,    0.066,    0.031,    0.032,    0.018,    0.030,    0.071,    0.025,    0.032,    0.018,    0.030,    0.070,    0.025,
         4,2020091900,    0.031,    0.026,    0.028,    0.099,    0.039,    0.032,    0.027,    0.028,    0.101,    0.040,    0.039,    0.029,    0.030,    0.116,    0.027,    0.039,    0.029,    0.030,    0.111,    0.027,
         4,2020091818,    0.027,    0.014,    0.025,    0.090,    0.035,    0.027,    0.014,    0.025,    0.101,    0.034,    0.034,    0.017,    0.028,    0.105,    0.030,    0.034,    0.018,    0.028,    0.099,    0.030,
         4,2020091812,    0.029,    0.017,    0.028,    0.077,    0.028,    0.030,    0.019,    0.028,    0.081,    0.031,    0.038,    0.025,    0.030,    0.107,    0.028,    0.038,    0.023,    0.030,    0.108,    0.028,
         4,2020091806,    0.026,    0.012,    0.026,    0.058,    0.035,    0.026,    0.012,    0.026,    0.057,    0.036,    0.031,    0.014,    0.029,    0.070,    0.029,    0.031,    0.015,    0.029,    0.071,    0.029,
         4,2020091800,    0.030,    0.022,    0.028,    0.077,    0.040,    0.031,    0.022,    0.028,    0.085,    0.039,    0.036,    0.025,    0.030,    0.108,    0.029,    0.036,    0.027,    0.030,    0.102,    0.029,
         4,2020091718,    0.028,    0.013,    0.026,    0.094,    0.036,    0.029,    0.014,    0.027,    0.107,    0.036,    0.035,    0.017,    0.027,    0.105,    0.032,    0.035,    0.017,    0.027,    0.098,    0.032,
         4,2020091712,    0.028,    0.016,    0.027,    0.076,    0.038,    0.028,    0.017,    0.027,    0.085,    0.039,    0.035,    0.021,    0.029,    0.101,    0.036,    0.035,    0.019,    0.029,    0.095,    0.036,
         4,2020091706,    0.026,    0.013,    0.026,    0.056,    0.022,    0.027,    0.013,    0.026,    0.063,    0.025,    0.031,    0.016,    0.028,    0.084,    0.019,    0.031,    0.016,    0.028,    0.078,    0.019,
         4,2020091700,    0.028,    0.021,    0.027,    0.083,    0.030,    0.030,    0.021,    0.027,    0.096,    0.031,    0.036,    0.025,    0.029,    0.113,    0.026,    0.036,    0.024,    0.029,    0.103,    0.026,
         4,2020091618,    0.028,    0.018,    0.026,    0.089,    0.041,    0.028,    0.018,    0.025,    0.098,    0.040,    0.035,    0.018,    0.028,    0.098,    0.026,    0.035,    0.019,    0.028,    0.097,    0.026,
