       329,2020092000,    0.027,    0.023,    0.028,    0.034,    0.026,    0.028,    0.023,    0.029,    0.035,    0.029,    0.028,    0.026,    0.027,    0.041,    0.031,    0.028,    0.025,    0.027,    0.038,    0.031,
       329,2020091918,    0.036,    0.022,    0.038,    0.068,    0.069,    0.037,    0.023,    0.039,    0.071,    0.071,    0.039,    0.027,    0.035,    0.071,    0.047,    0.039,    0.027,    0.035,    0.068,    0.047,
       329,2020091912,    0.033,    0.026,    0.032,    0.063,    0.022,    0.033,    0.026,    0.032,    0.060,    0.023,    0.037,    0.028,    0.033,    0.063,    0.020,    0.037,    0.028,    0.033,    0.064,    0.020,
       329,2020091906,    0.034,    0.024,    0.035,    0.062,    0.035,    0.034,    0.025,    0.036,    0.062,    0.034,    0.037,    0.031,    0.036,    0.057,    0.044,    0.037,    0.030,    0.036,    0.056,    0.044,
       329,2020091900,    0.029,    0.021,    0.031,    0.035,    0.038,    0.029,    0.022,    0.031,    0.036,    0.039,    0.030,    0.024,    0.030,    0.044,    0.043,    0.030,    0.023,    0.030,    0.040,    0.043,
       329,2020091818,    0.032,    0.021,    0.034,    0.056,    0.052,    0.033,    0.021,    0.035,    0.054,    0.055,    0.035,    0.025,    0.032,    0.058,    0.029,    0.035,    0.025,    0.032,    0.057,    0.029,
       329,2020091812,    0.031,    0.022,    0.030,    0.057,    0.022,    0.031,    0.023,    0.031,    0.055,    0.026,    0.033,    0.025,    0.030,    0.056,    0.031,    0.033,    0.025,    0.030,    0.057,    0.031,
       329,2020091806,    0.035,    0.027,    0.036,    0.058,    0.047,    0.036,    0.027,    0.038,    0.056,    0.051,    0.039,    0.030,    0.038,    0.060,    0.043,    0.039,    0.031,    0.038,    0.060,    0.043,
       329,2020091800,    0.030,    0.020,    0.031,    0.042,    0.038,    0.030,    0.021,    0.032,    0.042,    0.036,    0.030,    0.023,    0.029,    0.044,    0.024,    0.030,    0.023,    0.029,    0.043,    0.024,
       329,2020091718,    0.036,    0.028,    0.035,    0.062,    0.084,    0.037,    0.027,    0.037,    0.064,    0.082,    0.039,    0.029,    0.036,    0.062,    0.028,    0.039,    0.030,    0.036,    0.060,    0.028,
