         3,2020092000,    0.051,    0.062,    0.066,   -0.239,   -0.047,    0.047,    0.046,    0.066,   -0.234,   -0.046,    0.168,    0.142,    0.155,    0.200,    0.145,    0.168,    0.143,    0.155,    0.202,    0.145,
         3,2020091918,    0.035,   -0.020,    0.056,   -0.257,   -0.105,    0.029,   -0.024,    0.056,   -0.265,   -0.102,    0.154,    0.114,    0.142,    0.172,    0.134,    0.154,    0.108,    0.142,    0.167,    0.134,
         3,2020091912,    0.057,    0.022,    0.072,   -0.171,   -0.047,    0.054,    0.019,    0.072,   -0.184,   -0.035,    0.166,    0.126,    0.158,    0.177,    0.159,    0.166,    0.127,    0.158,    0.175,    0.159,
         3,2020091906,    0.038,   -0.027,    0.058,   -0.206,   -0.090,    0.031,   -0.037,    0.056,   -0.217,   -0.106,    0.152,    0.111,    0.143,    0.141,    0.136,    0.152,    0.113,    0.143,    0.143,    0.136,
         3,2020091900,    0.057,    0.059,    0.072,   -0.239,   -0.105,    0.053,    0.051,    0.072,   -0.240,   -0.115,    0.165,    0.145,    0.151,    0.203,    0.142,    0.165,    0.143,    0.151,    0.196,    0.142,
         3,2020091818,    0.028,   -0.007,    0.045,   -0.246,   -0.082,    0.023,   -0.013,    0.042,   -0.258,   -0.090,    0.154,    0.118,    0.144,    0.168,    0.159,    0.154,    0.122,    0.144,    0.166,    0.159,
         3,2020091812,    0.058,    0.004,    0.076,   -0.187,   -0.065,    0.053,    0.011,    0.075,   -0.197,   -0.064,    0.169,    0.145,    0.159,    0.198,    0.138,    0.169,    0.141,    0.159,    0.201,    0.138,
         3,2020091806,    0.036,   -0.012,    0.052,   -0.192,   -0.146,    0.031,   -0.023,    0.050,   -0.192,   -0.139,    0.148,    0.110,    0.140,    0.149,    0.103,    0.148,    0.113,    0.140,    0.149,    0.103,
         3,2020091800,    0.063,    0.035,    0.078,   -0.191,   -0.061,    0.058,    0.034,    0.078,   -0.206,   -0.093,    0.168,    0.142,    0.158,    0.200,    0.180,    0.168,    0.146,    0.158,    0.194,    0.180,
         3,2020091718,    0.037,   -0.005,    0.056,   -0.261,   -0.054,    0.029,   -0.013,    0.051,   -0.278,   -0.052,    0.161,    0.122,    0.150,    0.168,    0.171,    0.161,    0.120,    0.150,    0.165,    0.171,
         3,2020091712,    0.057,    0.001,    0.075,   -0.201,   -0.080,    0.054,   -0.001,    0.075,   -0.220,   -0.075,    0.164,    0.145,    0.154,    0.193,    0.169,    0.164,    0.135,    0.154,    0.186,    0.169,
         3,2020091706,    0.036,    0.003,    0.049,   -0.189,   -0.073,    0.033,    0.001,    0.047,   -0.200,   -0.060,    0.154,    0.119,    0.148,    0.160,    0.130,    0.154,    0.122,    0.148,    0.155,    0.130,
         3,2020091700,    0.070,    0.047,    0.087,   -0.225,   -0.040,    0.063,    0.042,    0.086,   -0.246,   -0.047,    0.166,    0.144,    0.155,    0.195,    0.162,    0.166,    0.144,    0.155,    0.184,    0.162,
         3,2020091618,    0.037,    0.008,    0.054,   -0.252,   -0.059,    0.031,   -0.005,    0.052,   -0.268,   -0.085,    0.162,    0.144,    0.149,    0.169,    0.198,    0.162,    0.146,    0.149,    0.171,    0.198,
         3,2020091612,    0.061,    0.028,    0.074,   -0.204,   -0.042,    0.058,    0.021,    0.074,   -0.225,   -0.034,    0.163,    0.137,    0.156,    0.189,    0.193,    0.163,    0.134,    0.156,    0.186,    0.193,
         3,2020091606,    0.040,   -0.013,    0.054,   -0.186,   -0.056,    0.033,   -0.022,    0.052,   -0.194,   -0.051,    0.157,    0.126,    0.151,    0.159,    0.174,    0.157,    0.122,    0.151,    0.162,    0.174,
         3,2020091600,    0.062,    0.058,    0.078,   -0.249,   -0.028,    0.056,    0.053,    0.075,   -0.242,   -0.028,    0.176,    0.136,    0.163,    0.182,    0.168,    0.176,    0.142,    0.163,    0.188,    0.168,
         3,2020091518,    0.044,    0.016,    0.061,   -0.288,   -0.091,    0.038,    0.008,    0.059,   -0.303,   -0.092,    0.169,    0.139,    0.157,    0.185,    0.157,    0.169,    0.139,    0.157,    0.183,    0.157,
         3,2020091512,    0.062,    0.037,    0.076,   -0.214,   -0.095,    0.058,    0.027,    0.076,   -0.217,   -0.093,    0.173,    0.139,    0.165,    0.171,    0.159,    0.173,    0.137,    0.165,    0.173,    0.159,
         3,2020091506,    0.044,   -0.012,    0.060,   -0.214,   -0.094,    0.041,   -0.020,    0.061,   -0.225,   -0.091,    0.160,    0.119,    0.154,    0.137,    0.167,    0.160,    0.114,    0.154,    0.129,    0.167,
         3,2020091500,    0.054,    0.073,    0.066,   -0.231,   -0.023,    0.051,    0.065,    0.067,   -0.232,   -0.034,    0.163,    0.138,    0.152,    0.173,    0.179,    0.163,    0.145,    0.152,    0.168,    0.179,
         3,2020091418,    0.057,    0.019,    0.075,   -0.301,   -0.074,    0.050,    0.005,    0.073,   -0.302,   -0.088,    0.167,    0.129,    0.156,    0.171,    0.169,    0.167,    0.130,    0.156,    0.174,    0.169,
         3,2020091412,    0.052,    0.025,    0.062,   -0.234,   -0.052,    0.051,    0.013,    0.063,   -0.239,   -0.057,    0.160,    0.133,    0.154,    0.176,    0.167,    0.160,    0.131,    0.154,    0.173,    0.167,
         3,2020091406,    0.052,   -0.013,    0.070,   -0.206,   -0.088,    0.047,   -0.019,    0.070,   -0.223,   -0.102,    0.158,    0.125,    0.150,    0.141,    0.176,    0.158,    0.126,    0.150,    0.134,    0.176,
         3,2020091400,    0.059,    0.052,    0.072,   -0.235,   -0.055,    0.056,    0.055,    0.071,   -0.238,   -0.085,    0.163,    0.135,    0.154,    0.176,    0.174,    0.163,    0.134,    0.154,    0.181,    0.174,
         3,2020091318,    0.045,    0.015,    0.058,   -0.267,   -0.063,    0.041,    0.011,    0.058,   -0.301,   -0.073,    0.155,    0.133,    0.147,    0.184,    0.153,    0.155,    0.129,    0.147,    0.174,    0.153,
         3,2020091312,    0.057,    0.013,    0.069,   -0.210,   -0.057,    0.053,    0.012,    0.068,   -0.224,   -0.057,    0.156,    0.129,    0.152,    0.160,    0.159,    0.156,    0.125,    0.152,    0.157,    0.159,
         3,2020091306,    0.051,   -0.013,    0.068,   -0.241,   -0.105,    0.047,   -0.020,    0.067,   -0.236,   -0.108,    0.147,    0.105,    0.137,    0.143,    0.138,    0.147,    0.101,    0.137,    0.150,    0.138,
         3,2020091300,    0.053,    0.040,    0.066,   -0.262,   -0.028,    0.049,    0.038,    0.065,   -0.257,   -0.039,    0.167,    0.138,    0.156,    0.172,    0.154,    0.167,    0.135,    0.156,    0.180,    0.154,
         3,2020091218,    0.044,    0.005,    0.061,   -0.270,   -0.059,    0.040,   -0.004,    0.061,   -0.279,   -0.081,    0.148,    0.114,    0.136,    0.172,    0.139,    0.148,    0.110,    0.136,    0.173,    0.139,
         3,2020091212,    0.051,    0.004,    0.067,   -0.221,   -0.052,    0.050,    0.003,    0.069,   -0.223,   -0.045,    0.156,    0.119,    0.147,    0.152,    0.167,    0.156,    0.116,    0.147,    0.153,    0.167,
         3,2020091206,    0.046,    0.006,    0.059,   -0.192,   -0.045,    0.042,   -0.001,    0.058,   -0.196,   -0.057,    0.138,    0.112,    0.129,    0.153,    0.163,    0.138,    0.113,    0.129,    0.156,    0.163,
         3,2020091200,    0.054,    0.039,    0.071,   -0.234,   -0.029,    0.050,    0.032,    0.069,   -0.232,   -0.039,    0.164,    0.128,    0.152,    0.180,    0.147,    0.164,    0.131,    0.152,    0.177,    0.147,
         3,2020091118,    0.049,   -0.007,    0.065,   -0.228,   -0.051,    0.045,   -0.015,    0.063,   -0.242,   -0.052,    0.146,    0.111,    0.136,    0.179,    0.148,    0.146,    0.108,    0.136,    0.181,    0.148,
