        19,2020092000,    0.049,    0.046,    0.044,    0.103,    0.059,    0.048,    0.042,    0.041,    0.105,    0.051,    0.062,    0.054,    0.063,    0.032,    0.034,    0.062,    0.059,    0.063,    0.032,    0.034,
        19,2020091918,    0.051,    0.053,    0.040,    0.106,    0.020,    0.048,    0.052,    0.035,    0.110,    0.039,    0.068,    0.073,    0.068,    0.025,    0.027,    0.068,    0.070,    0.068,    0.023,    0.027,
        19,2020091912,    0.060,    0.044,    0.061,    0.109,    0.277,    0.060,    0.045,    0.061,    0.110,    0.028,    0.070,    0.063,    0.076,    0.028, -999.000,    0.070,    0.057,    0.076,    0.027, -999.000,
        19,2020091906,    0.041,    0.031,    0.033,    0.107,    0.027,    0.038,    0.024,    0.032,    0.108,    0.050,    0.052,    0.026,    0.053,    0.023,    0.007,    0.052,    0.034,    0.053,    0.021,    0.007,
        19,2020091900,    0.050,    0.045,    0.045,    0.103,    0.051,    0.049,    0.056,    0.039,    0.109,    0.027,    0.066,    0.072,    0.069,    0.034,    0.057,    0.066,    0.056,    0.069,    0.035,    0.057,
        19,2020091818,    0.055,    0.063,    0.039,    0.115,    0.050,    0.052,    0.061,    0.037,    0.115,    0.032,    0.066,    0.081,    0.057,    0.027,    0.045,    0.066,    0.083,    0.057,    0.029,    0.045,
        19,2020091812,    0.068,    0.057,    0.065,    0.116,    0.071,    0.061,    0.050,    0.057,    0.119,    0.057,    0.084,    0.062,    0.092,    0.031,    0.046,    0.084,    0.071,    0.092,    0.032,    0.046,
        19,2020091806,    0.053,    0.028,    0.050,    0.114,    0.046,    0.050,    0.026,    0.046,    0.118,    0.068,    0.063,    0.033,    0.067,    0.024,    0.038,    0.063,    0.033,    0.067,    0.023,    0.038,
        19,2020091800,    0.057,    0.059,    0.047,    0.120,    0.074,    0.055,    0.055,    0.043,    0.121,    0.132,    0.072,    0.075,    0.069,    0.038,    0.097,    0.072,    0.078,    0.069,    0.035,    0.097,
        19,2020091718,    0.061,    0.065,    0.047,    0.129,    0.084,    0.060,    0.076,    0.044,    0.130,    0.021,    0.074,    0.090,    0.071,    0.031,    0.150,    0.074,    0.076,    0.071,    0.031,    0.150,
        19,2020091712,    0.058,    0.056,    0.047,    0.123,    0.027,    0.057,    0.058,    0.045,    0.120,    0.042,    0.069,    0.079,    0.064,    0.032,    0.020,    0.069,    0.076,    0.064,    0.030,    0.020,
        19,2020091706,    0.058,    0.026,    0.054,    0.128, -999.000,    0.054,    0.026,    0.050,    0.130,    0.040,    0.072,    0.036,    0.075,    0.024, -999.000,    0.072,    0.036,    0.075,    0.025, -999.000,
        19,2020091700,    0.063,    0.073,    0.051,    0.120,    0.038,    0.060,    0.064,    0.048,    0.120,    0.063,    0.084,    0.075,    0.083,    0.034,    0.034,    0.084,    0.094,    0.083,    0.031,    0.034,
